finest_taxon,kingdom,class,order,family,genus,species,Mass_kg,Mass_source,
Phalacrocoracidae,Metazoa,Aves,Suliformes,Phalacrocoracidae,NA,NA,NA,NA,
Phasianidae,Metazoa,Aves,Galliformes,Phasianidae,NA,NA,NA,NA,
Phasianus,Metazoa,Aves,Galliformes,Phasianidae,Phasianus,NA,NA,NA,
Philander opossum,Metazoa,Mammalia,Didelphimorphia,Didelphidae,Philander,Philander opossum,0.5855,EltonTraits,
Phoca vitulina,Metazoa,Mammalia,Carnivora,Phocidae,Phoca,Phoca vitulina,100,EltonTraits,
Phocidae,Metazoa,Mammalia,Carnivora,Phocidae,NA,NA,NA,NA,
Phrynosoma cornutum,Metazoa,Lepidosauria,Squamata,Phrynosomatidae,Phrynosoma,Phrynosoma cornutum,0.055,Perry_Garland_2002,
Pituophis,Metazoa,Lepidosauria,Squamata,Colubridae,Pituophis,NA,NA,NA,
Pituophis catenifer,Metazoa,Lepidosauria,Squamata,Colubridae,Pituophis,Pituophis catenifer,0.001586314,RepTraits,
Pituophis melanoleucus,Metazoa,Lepidosauria,Squamata,Colubridae,Pituophis,Pituophis melanoleucus,1.004,Tamburello_etal_2015,
Procyon lotor,Metazoa,Mammalia,Carnivora,Procyonidae,Procyon,Procyon lotor,8,Swihart_etal_1988,
Procyonidae,Metazoa,Mammalia,Carnivora,Procyonidae,NA,NA,NA,NA,
Pseudacris regilla,Metazoa,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris regilla,0.00035,"Stebbins, R. 2003. A Field Guide to Western Reptiles and Amphibians. Singapore: Houghton Mifflin Company.",
Pseudocorynosoma constrictum,Metazoa,Palaeacanthocephala,Polymorphida,Polymorphidae,Pseudocorynosoma,Pseudocorynosoma constrictum,#N/A,NA,*parasite
Puma concolor,Metazoa,Mammalia,Carnivora,Felidae,Puma,Puma concolor,89.99948,Tamburello_etal_2015,
Rallidae,Metazoa,Aves,Gruiformes,Rallidae,NA,NA,NA,NA,
Rana draytonii,Metazoa,Amphibia,Anura,Ranidae,Rana,Rana draytonii,0.032,NA,"Gary M. Fellers, Patrick M. Kleeman 2007. California Red-Legged Frog (Rana draytonii) Movement and Habitat Use: Implications for Conservation"
Rangifer tarandus,Metazoa,Mammalia,Artiodactyla,Cervidae,Rangifer,Rangifer tarandus,102.05869,Tamburello_etal_2015,
Rattus norvegicus,Metazoa,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,0.33833,EltonTraits,
Reithrodontomys fulvescens,Metazoa,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys fulvescens,0.0114,EltonTraits,
Reithrodontomys humulis,Metazoa,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys humulis,0.00831,EltonTraits,
Reithrodontomys megalotis,Metazoa,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys megalotis,0.009,Mace_Harvey_1983,
Rena humilis,Metazoa,Lepidosauria,Squamata,Leptotyphlopidae,Rena,Rena humilis,1.08788E-05,RepTraits,
Reptilia,Metazoa,Lepidosauria,NA,NA,NA,NA,NA,NA,
Ribeiroia ondatrae,Metazoa,Trematoda,Plagiorchiida,Echinostomatidae,Ribeiroia,Ribeiroia ondatrae,#N/A,NA,*flatworms
Rodentia,Metazoa,Mammalia,Rodentia,NA,NA,NA,NA,NA,
Romerolagus diazi,Metazoa,Mammalia,Lagomorpha,Leporidae,Romerolagus,Romerolagus diazi,0.47665,EltonTraits,
Salmonidae,Metazoa,Actinopteri,Salmoniformes,Salmonidae,NA,NA,NA,NA,
Sauromalus ater,Metazoa,Lepidosauria,Squamata,Iguanidae,Sauromalus,Sauromalus ater,0.000524807,RepTraits,
Scalopus aquaticus,Metazoa,Mammalia,Eulipotyphla,Talpidae,Scalopus,Scalopus aquaticus,0.1035,Tamburello_etal_2015,
Scapanus latimanus,Metazoa,Mammalia,Eulipotyphla,Talpidae,Scapanus,Scapanus latimanus,0.055,EltonTraits,
Scatophagidae,Metazoa,Actinopteri,NA,Scatophagidae,NA,NA,NA,NA,
Sciuridae,Metazoa,Mammalia,Rodentia,Sciuridae,NA,NA,NA,NA,
Sciurus carolinensis,Metazoa,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus carolinensis,0.625,Mace_Harvey_1983,
Sciurus griseus,Metazoa,Mammalia,Rodentia,Sciuridae,Hesperosciurus,Hesperosciurus griseus,0.731,EltonTraits,
Sciurus niger,Metazoa,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus niger,0.95299,Tamburello_etal_2015,
Scorpiones,Metazoa,Arachnida,Scorpiones,NA,NA,NA,NA,NA,
Serpentes,Metazoa,Lepidosauria,Squamata,NA,NA,NA,NA,NA,
Sigmodon,Metazoa,Mammalia,Rodentia,Cricetidae,Sigmodon,NA,NA,NA,
Sigmodon fulviventer,Metazoa,Mammalia,Rodentia,Cricetidae,Sigmodon,Sigmodon fulviventer,0.214,EltonTraits,
Sigmodon hispidus,Metazoa,Mammalia,Rodentia,Cricetidae,Sigmodon,Sigmodon hispidus,0.08,Mace_Harvey_1983,
Sigmodon mascotensis,Metazoa,Mammalia,Rodentia,Cricetidae,Sigmodon,Sigmodon mascotensis,0.12,EltonTraits,
Sonora occipitalis,Metazoa,Lepidosauria,Squamata,Colubridae,Sonora,Sonora occipitalis,1.39153E-05,RepTraits,
Sorex,Metazoa,Mammalia,Eulipotyphla,Soricidae,Sorex,NA,NA,NA,
Sorex cinereus,Metazoa,Mammalia,Eulipotyphla,Soricidae,Sorex,Sorex cinereus,0.00417,Tamburello_etal_2015,
Soricidae,Metazoa,Mammalia,Eulipotyphla,Soricidae,NA,NA,NA,NA,
Spermophilus,Metazoa,Mammalia,Rodentia,Sciuridae,Spermophilus,NA,NA,NA,
Stenopelmatidae,Metazoa,Insecta,Orthoptera,Stenopelmatidae,NA,NA,NA,NA,
Suidae,Metazoa,Mammalia,Artiodactyla,Suidae,NA,NA,NA,NA,
Sus,Metazoa,Mammalia,Artiodactyla,Suidae,Sus,NA,NA,NA,
Sus scrofa,Metazoa,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,96.11809,EltonTraits,
Sylvilagus,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,NA,NA,NA,
Sylvilagus aquaticus,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus aquaticus,2.198,Harestad and Bunnel 1979,
Sylvilagus audubonii,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus audubonii,0.88963,EltonTraits,
Sylvilagus bachmani,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus bachmani,0.695,Harestad_ Bunnel_1979,
Sylvilagus cunicularius,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus cunicularius,2.99999,EltonTraits,
Sylvilagus dicei,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus dicei,1.34335,EltonTraits,
Sylvilagus floridanus,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus floridanus,1.36079,Tamburello_etal_2015,
Sylvilagus nuttallii,Metazoa,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus nuttallii,0.75509,EltonTraits,
Talpidae,Metazoa,Mammalia,Eulipotyphla,Talpidae,NA,NA,NA,NA,
Tamandua mexicana,Metazoa,Mammalia,Pilosa,Myrmecophagidae,Tamandua,Tamandua mexicana,4.20998,EltonTraits,
Tamias,Metazoa,Mammalia,Rodentia,Sciuridae,Tamias,NA,NA,NA,
Tamias alpinus,Metazoa,Mammalia,Rodentia,Sciuridae,Tamias,Neotamias alpinus,0.03655,EltonTraits,
Tamias dorsalis,Metazoa,Mammalia,Rodentia,Sciuridae,Tamias,Tamias dorsalis,0.0711,EltonTraits,
Tamias merriami,Metazoa,Mammalia,Rodentia,Sciuridae,Tamias,Tamias merriami,0.0748,EltonTraits,
Tamias minimus,Metazoa,Mammalia,Rodentia,Sciuridae,Tamias,Tamias minimus,0.045,Swihart_etal_1988,
Tamias striatus,Metazoa,Mammalia,Rodentia,Sciuridae,Tamias,Tamias striatus,0.085,Harestad_ Bunnel_1979,
Tamiasciurus hudsonicus,Metazoa,Mammalia,Rodentia,Sciuridae,Tamiasciurus,Tamiasciurus hudsonicus,0.22396,Tamburello_etal_2015,
Tapirus bairdii,Metazoa,Mammalia,Perissodactyla,Tapiridae,Tapirus,Tapirus bairdii,299.99913,EltonTraits,
Taricha torosa,Metazoa,Amphibia,Caudata,Salamandridae,Taricha,Taricha torosa,0.0097,"Henry J. Harlow 1977. Seasonal Oxygen Metabolism and Cutaneous Osmoregulation in the California Newt, Taricha Torosa",
Taxidea taxus,Metazoa,Mammalia,Carnivora,Mustelidae,Taxidea,Taxidea taxus,8.61827,Tamburello_etal_2015,
Tayassuidae,Metazoa,Mammalia,Artiodactyla,Tayassuidae,NA,NA,NA,NA,
Testudines,Metazoa,NA,Testudines,NA,NA,NA,NA,NA,
Tetraoninae,Metazoa,Aves,Galliformes,Phasianidae,NA,NA,NA,NA,
Thamnophis atratus,Metazoa,Lepidosauria,Squamata,Colubridae,Thamnophis,Thamnophis atratus,0.000354858,RepTraits,
Thomomys bottae,Metazoa,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys bottae,0.16018,Tamburello_etal_2015,
Thomomys mazama,Metazoa,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys mazama,0.075,EltonTraits,
Thomomys townsendii,Metazoa,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys townsendii,0.26335,EltonTraits,
Urocitellus armatus,Metazoa,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus armatus,0.313,EltonTraits,
Urocitellus columbianus,Metazoa,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus columbianus,0.57834,Tamburello_etal_2015,
Urocitellus townsendii,Metazoa,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus townsendii,0.213,EltonTraits,
Urocitellus washingtoni,Metazoa,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus washingtoni,0.2075,EltonTraits,
Urocyon cinereoargenteus,Metazoa,Mammalia,Carnivora,Canidae,Urocyon,Urocyon cinereoargenteus,3.834,EOL,
Ursus americanus,Metazoa,Mammalia,Carnivora,Ursidae,Ursus,Ursus americanus,100,Hein_etal_2012,
Vulpes macrotis,Metazoa,Mammalia,Carnivora,Canidae,Vulpes,Vulpes macrotis,4.49997,EltonTraits,
Vulpes macrotis mutica,Metazoa,Mammalia,Carnivora,Canidae,Vulpes,Vulpes macrotis,4.49997,EltonTraits,
Vulpes velox,Metazoa,Mammalia,Carnivora,Canidae,Vulpes,Vulpes velox,2.0893,Tamburello_etal_2015,
Vulpes vulpes,Metazoa,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,4.1,Gittleman_Harvey_1982,
Xerospermophilus mohavensis,Metazoa,Mammalia,Rodentia,Sciuridae,Xerospermophilus,Xerospermophilus mohavensis,0.19,EltonTraits,
Xerospermophilus tereticaudus,Metazoa,Mammalia,Rodentia,Sciuridae,Xerospermophilus,Xerospermophilus tereticaudus,0.1565,EltonTraits,
Zalophus californianus,Metazoa,Mammalia,Carnivora,Otariidae,Zalophus,Zalophus californianus,80,EltonTraits,
Zapus hudsonius,Metazoa,Mammalia,Rodentia,Dipodidae,Zapus,Zapus hudsonius,0.022,Mace_Harvey_1983,
Zenaida asiatica,Metazoa,Aves,Columbiformes,Columbidae,Zenaida,Zenaida asiatica,0.153,EltonTraits,
Acrididae,Metazoa,Insecta,Orthoptera,Acrididae,NA,NA,NA,NA,
Alcelaphus buselaphus,Metazoa,Mammalia,Artiodactyla,Bovidae,Alcelaphus,Alcelaphus buselaphus,171.00153,EltonTraits,
Antidorcas marsupialis,Metazoa,Mammalia,Artiodactyla,Bovidae,Antidorcas,Antidorcas marsupialis,32,Hein_Gillooly_2011,
Aphidoidea,Metazoa,Insecta,Hemiptera,NA,NA,NA,NA,NA,
Bathyergidae,Metazoa,Mammalia,Rodentia,Bathyergidae,NA,NA,NA,NA,
Bovidae,Metazoa,Mammalia,Artiodactyla,Bovidae,NA,NA,NA,NA,
Capra hircus aegagrus,Metazoa,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus,54.25,EltonTraits,
Caracal caracal,Metazoa,Mammalia,Carnivora,Felidae,Caracal,Caracal caracal,12.9999,Tamburello_etal_2015,
Cephalophus,Metazoa,Mammalia,Artiodactyla,Bovidae,Cephalophus,NA,NA,NA,
Connochaetes gnou,Metazoa,Mammalia,Artiodactyla,Bovidae,Connochaetes,Connochaetes gnou,179.99896,EltonTraits,
Connochaetes taurinus,Metazoa,Mammalia,Artiodactyla,Bovidae,Connochaetes,Connochaetes taurinus,140,Hein_etal_2012,
Cryptomys hottentotus,Metazoa,Mammalia,Rodentia,Bathyergidae,Cryptomys,Cryptomys hottentotus,0.10195,EltonTraits,
Cynictis penicillata,Metazoa,Mammalia,Carnivora,Herpestidae,Cynictis,Cynictis penicillata,0.62,Tamburello_etal,
Damaliscus lunatus,Metazoa,Mammalia,Artiodactyla,Bovidae,Damaliscus,Damaliscus lunatus,136.00034,EltonTraits,
Damaliscus pygargus,Metazoa,Mammalia,Artiodactyla,Bovidae,Damaliscus,Damaliscus pygargus,102,EltonTraits,
Dasymys incomtus,Metazoa,Mammalia,Rodentia,Muridae,Dasymys,Dasymys incomtus,0.1383,EltonTraits,
Dendromus melanotis,Metazoa,Mammalia,Rodentia,Nesomyidae,Dendromus,Dendromus melanotis,0.00906,EltonTraits,
Equus,Metazoa,Mammalia,Perissodactyla,Equidae,Equus,NA,NA,NA,
Equus asinus,Metazoa,Mammalia,Perissodactyla,Equidae,Equus,Equus asinus,244.99925,EltonTraits,
Equus quagga,Metazoa,Mammalia,Perissodactyla,Equidae,Equus,Equus quagga,400,EltonTraits,
Eudorcas thomsonii,Metazoa,Mammalia,Artiodactyla,Bovidae,Eudorcas,Eudorcas thomsonii,22.90743,EltonTraits,
Gerbilliscus brantsii,Metazoa,Mammalia,Rodentia,Muridae,Gerbilliscus,Gerbilliscus brantsii,0.08941,EltonTraits,
Giraffa camelopardalis,Metazoa,Mammalia,Artiodactyla,Giraffidae,Giraffa,Giraffa camelopardalis,899.9948,EltonTraits,
Hyracoidea,Metazoa,Mammalia,Hyracoidea,NA,NA,NA,NA,NA,
Hystrix africaeaustralis,Metazoa,Mammalia,Rodentia,Hystricidae,Hystrix,Hystrix africaeaustralis,14.93602,EltonTraits,
Ictonyx striatus,Metazoa,Mammalia,Carnivora,Mustelidae,Ictonyx,Ictonyx striatus,1.29999,EltonTraits,
Kobus ellipsiprymnus,Metazoa,Mammalia,Artiodactyla,Bovidae,Kobus,Kobus ellipsiprymnus,210.00034,EltonTraits,
Lepus capensis,Metazoa,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus capensis,3.26167,EltonTraits,
Madoqua kirkii,Metazoa,Mammalia,Artiodactyla,Bovidae,Madoqua,Madoqua kirkii,5.30005,EltonTraits,
Mastomys natalensis,Metazoa,Mammalia,Rodentia,Muridae,Mastomys,Mastomys natalensis,0.05454,EltonTraits,
Micaelamys namaquensis,Metazoa,Mammalia,Rodentia,Muridae,Micaelamys,Micaelamys namaquensis,0.0571,EltonTraits,
Mus minutoides,Metazoa,Mammalia,Rodentia,Muridae,Mus,Mus minutoides,0.00701,EltonTraits,
Myosorex varius,Metazoa,Mammalia,Eulipotyphla,Soricidae,Myosorex,Myosorex varius,0.0132,EltonTraits,
Oreotragus oreotragus,Metazoa,Mammalia,Artiodactyla,Bovidae,Oreotragus,Oreotragus oreotragus,12.9999,EltonTraits,
Orycteropus afer,Metazoa,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,Orycteropus afer,52.3504,EltonTraits,
Otocyon megalotis,Metazoa,Mammalia,Carnivora,Canidae,Otocyon,Otocyon megalotis,4.15002,EltonTraits,
Otomys irroratus,Metazoa,Mammalia,Rodentia,Muridae,Otomys,Otomys irroratus,0.11802,EltonTraits,
Ourebia ourebi,Metazoa,Mammalia,Artiodactyla,Bovidae,Ourebia,Ourebia ourebi,17.25004,EltonTraits,
Papio ursinus,Metazoa,Mammalia,Primates,Cercopithecidae,Papio,Papio ursinus,17.72944,EltonTraits,
Pedetes,Metazoa,Mammalia,Rodentia,Pedetidae,Pedetes,NA,NA,NA,
Pedetes capensis,Metazoa,Mammalia,Rodentia,Pedetidae,Pedetes,Pedetes capensis,3.155,EltonTraits,
Phacochoerus,Metazoa,Mammalia,Artiodactyla,Suidae,Phacochoerus,NA,NA,NA,
Phacochoerus africanus,Metazoa,Mammalia,Artiodactyla,Suidae,Phacochoerus,Phacochoerus africanus,82.5,EltonTraits,
Primates,Metazoa,Mammalia,Primates,NA,NA,NA,NA,NA,
Procavia capensis,Metazoa,Mammalia,Hyracoidea,Procaviidae,Procavia,Procavia capensis,3.02998,EltonTraits,
Raphicerus campestris,Metazoa,Mammalia,Artiodactyla,Bovidae,Raphicerus,Raphicerus campestris,10.50002,EltonTraits,
Rattus rattus,Metazoa,Mammalia,Rodentia,Muridae,Rattus,Rattus rattus,0.22913,EltonTraits,
Redunca arundinum,Metazoa,Mammalia,Artiodactyla,Bovidae,Redunca,Redunca arundinum,58.00027,EltonTraits,
Redunca fulvorufula,Metazoa,Mammalia,Artiodactyla,Bovidae,Redunca,Redunca fulvorufula,29.49986,EltonTraits,
Rhabdomys pumilio,Metazoa,Mammalia,Rodentia,Muridae,Rhabdomys,Rhabdomys pumilio,0.04112,EltonTraits,
Suricata suricatta,Metazoa,Mammalia,Carnivora,Herpestidae,Suricata,Suricata suricatta,0.7255,EltonTraits,
Sylvicapra grimmia,Metazoa,Mammalia,Artiodactyla,Bovidae,Sylvicapra,Sylvicapra grimmia,19.49979,EltonTraits,
Syncerus caffer,Metazoa,Mammalia,Artiodactyla,Bovidae,Syncerus,Syncerus caffer,580.00268,EltonTraits,
Tragelaphus angasii,Metazoa,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus angasii,86.60042,EltonTraits,
Tragelaphus oryx,Metazoa,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus oryx,635.03842,Tamburello_etal_2015,
Tragelaphus scriptus sylvaticus,Metazoa,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus scriptus,43.25039,EltonTraits,
Tragelaphus strepsiceros,Metazoa,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus strepsiceros,213.50104,EltonTraits,
Vespidae,Metazoa,Insecta,Hymenoptera,Vespidae,NA,NA,NA,NA,
Vulpes chama,Metazoa,Mammalia,Carnivora,Canidae,Vulpes,Vulpes chama,2.95502,EltonTraits,
Xerus inauris,Metazoa,Mammalia,Rodentia,Sciuridae,Xerus,Xerus inauris,0.529,EltonTraits,
Canis latrans,Metazoa,Mammalia,Carnivora,Canidae,Canis,Canis latrans,14.06,Jenkins_etal_2007,
Arvicanthis,Metazoa,Mammalia,Rodentia,Muridae,Arvicanthis,NA,NA,NA,
Arvicanthis abyssinicus,Metazoa,Mammalia,Rodentia,Muridae,Arvicanthis,Arvicanthis abyssinicus,0.0771,EltonTraits,
Arvicanthis blicki,Metazoa,Mammalia,Rodentia,Muridae,Arvicanthis,Arvicanthis blicki,0.128,EltonTraits,
Dendromus lovati,Metazoa,Mammalia,Rodentia,Nesomyidae,Dendromus,Dendromus lovati,0.012,EltonTraits,
Lepus starcki,Metazoa,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus starcki,2.75,EltonTraits,
Lophuromys,Metazoa,Mammalia,Rodentia,Muridae,Lophuromys,NA,NA,NA,
Lophuromys flavopunctatus,Metazoa,Mammalia,Rodentia,Muridae,Lophuromys,Lophuromys flavopunctatus,0.06,EltonTraits,
Malacothrix,Metazoa,Mammalia,Rodentia,Nesomyidae,Malacothrix,NA,NA,NA,
Otomys typus,Metazoa,Mammalia,Rodentia,Muridae,Otomys,Otomys typus,0.11544,EltonTraits,
Spalax giganteus,Metazoa,Mammalia,Rodentia,Spalacidae,Spalax,Spalax giganteus,0.30196,EltonTraits,
Stenocephalemys albipes,Metazoa,Mammalia,Rodentia,Muridae,Stenocephalemys,Stenocephalemys albipes,0.05281,EltonTraits,
Stenocephalemys albocaudata,Metazoa,Mammalia,Rodentia,Muridae,Stenocephalemys,Stenocephalemys albocaudata,0.144,EltonTraits,
Stenocephalemys griseicauda,Metazoa,Mammalia,Rodentia,Muridae,Stenocephalemys,Stenocephalemys griseicauda,0.08575,EltonTraits,
Tachyoryctes,Metazoa,Mammalia,Rodentia,Spalacidae,Tachyoryctes,NA,NA,NA,
Tachyoryctes macrocephalus,Metazoa,Mammalia,Rodentia,Spalacidae,Tachyoryctes,Tachyoryctes macrocephalus,0.59699,EltonTraits,
Tachyoryctes splendens,Metazoa,Mammalia,Rodentia,Spalacidae,Tachyoryctes,Tachyoryctes splendens,0.21225,EltonTraits,
Alces americanus,Metazoa,Mammalia,Artiodactyla,Cervidae,Alces,Alces americanus,541.46044,EltonTraits,
Apodiformes,Metazoa,Aves,Apodiformes,NA,NA,NA,NA,NA,
Bonasa,Metazoa,Aves,Galliformes,Phasianidae,Bonasa,NA,NA,NA,
Dipodomys californicus,Metazoa,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys californicus,0.08496,EltonTraits,
Equus hemionus,Metazoa,Mammalia,Perissodactyla,Equidae,Equus,Equus hemionus,240,EltonTraits,
Erethizontidae,Metazoa,Mammalia,Rodentia,Erethizontidae,NA,NA,NA,NA,
Myodes gapperi,Metazoa,Mammalia,Rodentia,Cricetidae,Clethrionomys,Clethrionomys gapperi,0.01983,EltonTraits,
Nematoda,Metazoa,NA,NA,NA,NA,NA,NA,NA,
Ondatra,Metazoa,Mammalia,Rodentia,Cricetidae,Ondatra,NA,NA,NA,
Onychomys,Metazoa,Mammalia,Rodentia,Cricetidae,Onychomys,NA,NA,NA,
Perognathus,Metazoa,Mammalia,Rodentia,Heteromyidae,Perognathus,NA,NA,NA,
Phasianus colchicus,Metazoa,Aves,Galliformes,Phasianidae,Phasianus,Phasianus colchicus,1.136,Mace_Harvey_1983,
Reithrodontomys,Metazoa,Mammalia,Rodentia,Cricetidae,Reithrodontomys,NA,NA,NA,
Ailuropoda,Metazoa,Mammalia,Carnivora,Ursidae,Ailuropoda,NA,NA,NA,
Arctonyx collaris,Metazoa,Mammalia,Carnivora,Mustelidae,Arctonyx,Arctonyx collaris,6.356,EltonTraits,
Atherurus macrourus,Metazoa,Mammalia,Rodentia,Hystricidae,Atherurus,Atherurus macrourus,2,EltonTraits,
Axis axis,Metazoa,Mammalia,Artiodactyla,Cervidae,Axis,Axis axis,67.28185,EltonTraits,
Axis porcinus,Metazoa,Mammalia,Artiodactyla,Cervidae,Axis,Axis porcinus,34.4185,EltonTraits,
Bos frontalis,Metazoa,Mammalia,Artiodactyla,Bovidae,Bos,Bos frontalis,800,EltonTraits,
Bos gaurus,Metazoa,Mammalia,Artiodactyla,Bovidae,Bos,Bos gaurus,1100,"Ogilvie, C. S. (1953). ""The behaviour of seladang (Bos gaurus)"". Oryx. 2 (3): 167¡V169.",
Bos grunniens mutus,Metazoa,Mammalia,Artiodactyla,Bovidae,Bos,Bos mutus,416.5,EltonTraits,
Bos javanicus,Metazoa,Mammalia,Artiodactyla,Bovidae,Bos,Bos javanicus,625,EltonTraits,
Boselaphus,Metazoa,Mammalia,Artiodactyla,Bovidae,Boselaphus,NA,NA,NA,
